N_intento	Edad	Género	Movimientos
2	8	F	6,1234,5,691
2	8	F	16,234,5,976
2	8	F	16,34,25,1154
2	8	F	6,34,125,1592
2	8	F	36,4,125,1046
2	8	F	36,14,25,648
2	8	F	36,14,25,644
2	8	F	236,14,5,1555
2	8	F	1236,4,5,1117
2	8	F	1236,,45,1100
2	8	F	1236,,45,6
2	8	F	236,1,45,1627
2	8	F	36,1,245,1903
2	8	F	36,,1245,843
2	8	F	36,,1245,1129
6	8	F	23456,,1,1026
6	8	F	3456,2,1,1121
6	8	F	3456,12,,1010
6	8	F	456,12,3,906
6	8	F	456,2,13,1971
6	8	F	2456,,13,779
6	8	F	12456,,3,1959
6	8	F	12456,3,,1277
6	8	F	12456,,3,1157
8	8	F	23456,1,,645
8	8	F	23456,1,,814
8	8	F	23456,1,,6
8	8	F	3456,1,2,2446
8	8	F	3456,,12,962
8	8	F	456,3,12,656
8	8	F	1456,3,2,1416
8	8	F	1456,23,,1235
8	8	F	456,123,,804
8	8	F	56,123,4,1061
8	8	F	156,23,4,797
8	8	F	156,3,24,1150
8	8	F	56,3,124,1188
8	8	F	56,13,24,862
8	8	F	256,13,4,982
8	8	F	1256,3,4,1597
8	8	F	1256,,34,1292
8	8	F	256,1,34,789
8	8	F	56,1,234,990
8	8	F	56,,1234,1116
8	8	F	6,5,1234,750
8	8	F	6,15,234,963
8	8	F	26,15,34,766
8	8	F	126,5,34,1119
8	8	F	126,5,34,2904
8	8	F	126,35,4,816
8	8	F	26,35,14,755
8	8	F	6,235,14,895
8	8	F	6,1235,4,873
8	8	F	6,235,14,807
8	8	F	16,235,4,940
8	8	F	16,35,24,747
8	8	F	6,35,124,1258
8	8	F	36,5,124,845
8	8	F	36,15,24,879
8	8	F	236,15,4,1112
8	8	F	1236,5,4,1102
8	8	F	1236,45,,1021
8	8	F	236,45,1,750
8	8	F	36,245,1,1346
8	8	F	136,245,,947
8	8	F	136,45,2,1001
8	8	F	36,45,12,1241
8	8	F	6,345,12,896
8	8	F	16,345,2,715
8	8	F	16,2345,,794
8	8	F	6,12345,,1063
8	8	F	,12345,6,1063
8	8	F	,2345,16,599
8	8	F	2,345,16,690
8	8	F	12,345,6,2082
8	8	F	12,45,36,551
8	8	F	2,145,36,1007
8	8	F	,145,236,872
8	8	F	,45,1236,1132
8	8	F	4,5,1236,785
8	8	F	4,15,236,1145
8	8	F	4,15,236,696
8	8	F	14,5,236,1082
8	8	F	14,25,36,941
8	8	F	4,125,36,806
8	8	F	34,125,6,1363
8	8	F	34,25,16,671
8	8	F	234,5,16,853
8	8	F	1234,5,6,889
8	8	F	1234,,56,625
8	8	F	234,1,56,563
1	26	F	23456,1,,3181
1	26	F	3456,1,2,2885
1	26	F	3456,,12,1886
1	26	F	456,3,12,1888
1	26	F	1456,3,2,1596
1	26	F	1456,23,,1293
1	26	F	456,123,,1246
1	26	F	56,123,4,1507
1	26	F	156,23,4,1244
1	26	F	156,3,24,1408
1	26	F	56,3,124,1534
1	26	F	356,,124,1286
1	26	F	356,1,24,1365
1	26	F	356,1,24,910
1	26	F	1356,,24,1287
1	26	F	1356,2,4,1087
1	26	F	356,12,4,1086
1	26	F	56,12,34,1314
1	26	F	156,2,34,957
1	26	F	156,,234,897
1	26	F	56,,1234,1545
1	26	F	6,5,1234,1168
1	26	F	6,15,234,827
1	26	F	26,15,34,1819
1	26	F	126,5,34,1032
1	26	F	126,35,4,2440
1	26	F	26,135,4,870
1	26	F	126,35,4,965
1	26	F	126,5,34,1027
1	26	F	26,5,134,870
1	26	F	6,25,134,828
1	26	F	16,25,34,1430
1	26	F	6,125,34,1037
1	26	F	36,125,4,1048
1	26	F	36,125,4,738
1	26	F	36,25,14,727
1	26	F	236,5,14,887
1	26	F	1236,5,4,776
1	26	F	1236,45,,867
1	26	F	236,45,1,2716
1	26	F	36,245,1,836
1	26	F	36,1245,,1718
1	26	F	136,245,,1328
1	26	F	136,45,2,1538
1	26	F	36,45,12,1039
1	26	F	6,345,12,846
1	26	F	16,345,2,921
1	26	F	16,2345,,786
1	26	F	6,12345,,627
1	26	F	,12345,6,748
1	26	F	1,2345,6,937
1	26	F	1,345,26,897
1	26	F	,345,126,780
1	26	F	3,45,126,909
1	26	F	3,145,26,899
1	26	F	23,145,6,729
1	26	F	123,45,6,1040
1	26	F	123,5,46,646
1	26	F	23,15,46,1067
1	26	F	3,15,246,936
1	26	F	3,5,1246,710
1	26	F	,35,1246,1049
1	26	F	1,35,246,1385
1	26	F	1,235,46,900
1	26	F	,1235,46,1026
1	26	F	4,1235,6,1267
1	26	F	4,235,16,1004
1	26	F	24,35,16,1006
1	26	F	124,35,6,5106
1	26	F	124,5,36,828
1	26	F	24,15,36,717
1	26	F	4,15,236,1210
1	26	F	4,15,236,759
1	26	F	14,5,236,809
1	26	F	4,15,236,1129
1	26	F	24,15,36,937
1	26	F	124,5,36,770
1	26	F	124,5,36,897
2	26	F	23456,1,,2888
2	26	F	3456,1,2,1589
2	26	F	3456,,12,1267
2	26	F	456,3,12,1007
2	26	F	1456,3,2,1490
2	26	F	1456,23,,776
2	26	F	456,123,,776
2	26	F	56,123,4,1278
2	26	F	156,23,4,669
2	26	F	156,3,24,1266
2	26	F	56,3,124,1809
2	26	F	356,,124,1353
2	26	F	1356,,24,981
2	26	F	1356,2,4,1128
2	26	F	356,12,4,716
2	26	F	56,12,34,1609
2	26	F	156,2,34,649
2	26	F	156,,234,679
2	26	F	56,,1234,819
2	26	F	6,5,1234,709
2	26	F	16,5,234,1800
2	26	F	16,25,34,758
2	26	F	6,25,134,829
2	26	F	26,5,134,771
2	26	F	26,15,34,7679
2	26	F	126,5,34,801
2	26	F	126,35,4,810
2	26	F	26,135,4,711
2	26	F	126,35,4,1069
2	26	F	26,135,4,719
2	26	F	6,135,24,1228
2	26	F	6,35,124,918
2	26	F	36,5,124,728
2	26	F	136,5,24,1568
2	26	F	36,15,24,658
2	26	F	236,15,4,751
2	26	F	1236,5,4,860
2	26	F	1236,45,,907
2	26	F	236,45,1,777
2	26	F	36,245,1,817
2	26	F	36,1245,,931
2	26	F	6,1245,3,945
2	26	F	16,245,3,762
2	26	F	16,245,3,1073
2	26	F	6,245,13,777
2	26	F	26,45,13,789
2	26	F	126,45,3,817
2	26	F	126,345,,670
2	26	F	26,345,1,815
2	26	F	6,2345,1,857
2	26	F	6,12345,,940
2	26	F	,12345,6,1288
2	26	F	,2345,16,885
2	26	F	2,345,16,704
2	26	F	12,345,6,1027
2	26	F	12,45,36,661
2	26	F	2,145,36,1536
2	26	F	,145,236,1012
2	26	F	,45,1236,796
2	26	F	4,5,1236,793
2	26	F	14,5,236,1400
2	26	F	14,25,36,897
2	26	F	4,125,36,545
2	26	F	34,125,6,820
2	26	F	34,25,16,1386
2	26	F	234,5,16,580
2	26	F	1234,5,6,1122
2	26	F	1234,,56,959
2	26	F	234,,156,987
2	26	F	34,2,156,768
2	26	F	34,2,156,790
2	26	F	34,12,56,538
2	26	F	4,12,356,826
2	26	F	4,2,1356,730
2	26	F	24,,1356,699
2	26	F	124,,356,699
2	26	F	124,3,56,632
2	26	F	24,3,156,863
2	26	F	4,23,156,769
2	26	F	4,123,56,596
2	26	F	,123,456,880
2	26	F	,23,1456,698
2	26	F	2,3,1456,792
2	26	F	12,3,456,831
2	26	F	12,,3456,611
2	26	F	2,1,3456,810
2	26	F	,1,23456,738
3	26	F	123456,,,899
3	26	F	23456,,1,1359
3	26	F	3456,2,1,1007
3	26	F	3456,12,,790
3	26	F	456,12,3,796
3	26	F	456,2,13,1019
3	26	F	2456,,13,890
3	26	F	12456,,3,642
3	26	F	12456,3,,755
3	26	F	2456,13,,982
3	26	F	456,13,2,927
3	26	F	1456,3,2,918
3	26	F	1456,3,2,678
3	26	F	1456,23,,830
3	26	F	456,123,,746
3	26	F	56,123,4,1161
3	26	F	156,23,4,1777
3	26	F	156,3,24,530
3	26	F	56,3,124,950
3	26	F	356,,124,877
3	26	F	356,,124,125
3	26	F	1356,,24,749
3	26	F	1356,2,4,578
3	26	F	356,2,14,597
3	26	F	2356,,14,962
3	26	F	12356,,4,648
3	26	F	12356,4,,667
3	26	F	2356,4,1,838
3	26	F	2356,4,1,1218
3	26	F	356,24,1,560
3	26	F	356,124,,748
3	26	F	56,124,3,986
3	26	F	156,24,3,668
3	26	F	156,4,23,1219
3	26	F	56,14,23,940
3	26	F	256,14,3,1118
3	26	F	1256,4,3,647
3	26	F	1256,4,3,570
3	26	F	1256,34,,596
3	26	F	256,34,1,819
3	26	F	56,234,1,580
3	26	F	56,1234,,598
3	26	F	6,1234,5,1257
3	26	F	6,234,15,696
3	26	F	26,34,15,886
3	26	F	126,34,5,991
3	26	F	126,4,35,1001
3	26	F	26,14,35,527
3	26	F	6,14,235,914
3	26	F	6,4,1235,791
3	26	F	46,,1235,800
3	26	F	46,1,235,629
3	26	F	246,1,35,1199
3	26	F	246,,135,686
3	26	F	46,2,135,829
3	26	F	46,12,35,689
3	26	F	346,12,5,1698
3	26	F	346,2,15,1206
3	26	F	2346,,15,748
3	26	F	12346,,5,695
3	26	F	12346,5,,868
3	26	F	2346,5,1,747
3	26	F	346,25,1,468
3	26	F	346,125,,736
3	26	F	46,125,3,1238
4	26	F	23456,1,,1478
4	26	F	3456,1,2,1379
4	26	F	3456,,12,941
1	31	M	23456,,1,1735
1	31	M	3456,2,1,1658
1	31	M	3456,12,,1493
1	31	M	456,12,3,1058
1	31	M	1456,2,3,984
1	31	M	1456,,23,880
1	31	M	456,,123,1661
1	31	M	56,4,123,2040
1	31	M	56,14,23,1594
1	31	M	256,14,3,1186
1	31	M	1256,4,3,3764
1	31	M	1256,34,,955
1	31	M	1256,34,,742
1	31	M	256,34,1,3527
1	31	M	56,234,1,906
1	31	M	56,1234,,841
1	31	M	6,1234,5,1968
1	31	M	16,234,5,1189
1	31	M	16,34,25,2504
1	31	M	16,34,25,690
1	31	M	6,34,125,1303
1	31	M	36,4,125,651
1	31	M	36,14,25,679
1	31	M	236,14,5,1137
1	31	M	1236,4,5,689
1	31	M	1236,,45,2439
1	31	M	1236,4,5,1507
1	31	M	236,4,15,920
1	31	M	36,24,15,716
1	31	M	36,124,5,651
1	31	M	36,24,15,3971
1	31	M	236,4,15,982
1	31	M	1236,4,5,1186
1	31	M	1236,,45,982
1	31	M	1236,4,5,3678
1	31	M	236,4,15,1328
1	31	M	36,24,15,804
1	31	M	36,124,5,779
1	31	M	6,124,35,1111
1	31	M	6,24,135,1024
1	31	M	26,4,135,741
1	31	M	26,14,35,1136
1	31	M	6,14,235,880
1	31	M	6,4,1235,1111
1	31	M	6,4,1235,1801
1	31	M	16,4,235,2566
1	31	M	16,24,35,946
1	31	M	6,124,35,880
1	31	M	36,124,5,996
1	31	M	36,24,15,791
1	31	M	236,4,15,536
1	31	M	1236,4,5,1225
1	31	M	1236,4,5,2670
1	31	M	1236,4,5,1136
1	31	M	1236,,45,3449
1	31	M	1236,4,5,920
1	31	M	23456,,1,1237
1	31	M	3456,2,1,1008
1	31	M	3456,12,,843
1	31	M	456,12,3,4124
1	31	M	1456,2,3,3078
1	31	M	1456,,23,880
1	31	M	456,,123,1415
1	31	M	56,4,123,725
1	31	M	56,14,23,1200
1	31	M	256,14,3,866
1	31	M	1256,4,3,625
1	31	M	1256,34,,1929
1	31	M	256,34,1,2350
1	31	M	56,234,1,2031
1	31	M	56,1234,,613
1	31	M	6,1234,5,2400
1	31	M	6,234,15,1710
1	31	M	26,34,15,843
1	31	M	26,34,15,281
1	31	M	26,34,15,867
1	31	M	126,34,5,1272
1	31	M	126,4,35,855
1	31	M	26,4,135,1083
1	31	M	6,24,135,981
1	31	M	6,124,35,1354
1	31	M	36,124,5,1825
1	31	M	36,124,5,344
1	31	M	36,24,15,741
1	31	M	236,4,15,509
1	31	M	1236,4,5,1696
1	31	M	236,4,15,2209
1	31	M	36,24,15,1021
1	31	M	36,124,5,1097
1	31	M	6,124,35,921
1	31	M	16,24,35,892
1	31	M	16,4,235,958
1	31	M	6,4,1235,907
1	31	M	46,,1235,754
1	31	M	46,1,235,780
1	31	M	146,,235,920
1	31	M	146,2,35,791
1	31	M	46,12,35,1238
1	31	M	346,12,5,817
1	31	M	346,2,15,969
1	31	M	2346,,15,867
1	31	M	12346,,5,1568
1	31	M	12346,5,,789
1	31	M	2346,5,1,1188
1	31	M	346,25,1,2220
1	31	M	346,125,,843
1	31	M	46,125,3,1288
1	31	M	146,25,3,843
1	31	M	146,5,23,587
1	31	M	46,5,123,664
1	31	M	6,45,123,638
1	31	M	16,45,23,778
1	31	M	16,245,3,1570
1	31	M	6,245,13,1062
1	31	M	26,45,13,740
1	31	M	126,45,3,870
1	31	M	126,345,,958
1	31	M	26,345,1,702
1	31	M	6,2345,1,777
1	31	M	6,12345,,804
1	31	M	,12345,6,1213
1	31	M	1,2345,6,970
1	31	M	1,345,26,751
1	31	M	,345,126,681
1	31	M	3,45,126,816
1	31	M	3,145,26,600
1	31	M	23,145,6,690
1	31	M	123,45,6,613
1	31	M	123,5,46,434
1	31	M	123,5,46,141
1	31	M	23,15,46,510
1	31	M	3,15,246,690
1	31	M	3,5,1246,2323
1	31	M	,35,1246,691
1	31	M	1,35,246,1940
1	31	M	1,235,46,639
1	31	M	,1235,46,599
1	31	M	4,1235,6,1136
1	31	M	14,235,6,589
1	31	M	14,35,26,1290
1	31	M	4,35,126,626
1	31	M	34,5,126,1127
1	31	M	34,15,26,497
1	31	M	234,15,6,626
1	31	M	1234,5,6,710
1	31	M	1234,,56,752
1	31	M	1234,,56,497
1	31	M	234,,156,1595
1	31	M	34,2,156,752
1	31	M	34,12,56,817
1	31	M	4,12,356,1187
1	31	M	14,2,356,1506
1	31	M	14,,2356,753
1	31	M	4,,12356,969
1	31	M	14,,2356,1278
1	31	M	14,2,356,1761
1	31	M	4,2,1356,2108
1	31	M	24,,1356,501
1	31	M	124,,356,729
1	31	M	124,3,56,523
1	31	M	24,3,156,765
1	31	M	4,23,156,704
1	31	M	4,123,56,524
1	31	M	,123,456,880
1	31	M	1,23,456,1262
1	31	M	,23,1456,661
1	31	M	2,3,1456,779
1	31	M	12,3,456,1109
1	31	M	12,,3456,600
1	31	M	2,1,3456,459
1	31	M	,1,23456,641
2	31	M	123456,,,572
1	35	F	23456,1,,2858
1	35	F	3456,1,2,4022
1	35	F	3456,,12,2119
1	35	F	456,3,12,1619
1	35	F	456,3,12,1684
1	35	F	1456,3,2,3902
1	35	F	1456,23,,1251
1	35	F	456,123,,1279
1	35	F	56,123,4,2171
1	35	F	156,23,4,5671
1	35	F	156,3,24,987
1	35	F	56,13,24,1074
1	35	F	156,3,24,765
1	35	F	56,13,24,728
1	35	F	256,13,4,690
1	35	F	256,13,4,345
1	35	F	1256,3,4,996
1	35	F	1256,,34,880
1	35	F	256,,134,1545
1	35	F	256,1,34,424
1	35	F	56,1,234,1099
1	35	F	56,,1234,1341
1	35	F	6,5,1234,881
1	35	F	16,5,234,2221
1	35	F	16,25,34,448
1	35	F	6,125,34,933
1	35	F	36,125,4,1353
1	35	F	36,125,4,497
1	35	F	136,25,4,984
1	35	F	136,25,4,307
1	35	F	36,25,14,972
1	35	F	36,25,14,191
1	35	F	236,5,14,1316
1	35	F	1236,5,4,638
1	35	F	1236,45,,1681
1	35	F	236,145,,1377
1	35	F	36,145,2,1195
1	35	F	36,145,2,3997
1	35	F	136,45,2,1318
1	35	F	136,245,,879
1	35	F	36,1245,,2143
1	35	F	6,1245,3,2540
1	35	F	16,245,3,1160
1	35	F	16,45,23,854
1	35	F	6,45,123,1226
1	35	F	46,5,123,1478
1	35	F	6,45,123,1735
1	35	F	46,5,123,626
1	35	F	146,5,23,3052
1	35	F	146,5,23,61
1	35	F	146,5,23,51
1	35	F	146,5,23,130
2	35	F	23456,,1,1797
2	35	F	3456,2,1,1776
2	35	F	3456,12,,1139
2	35	F	456,12,3,1736
2	35	F	456,2,13,3793
2	35	F	1456,2,3,1674
2	35	F	1456,,23,1368
2	35	F	456,,123,2400
2	35	F	56,4,123,1328
2	35	F	56,14,23,779
2	35	F	256,14,3,1163
2	35	F	256,4,13,4788
3	35	F	23456,1,,1609
3	35	F	3456,1,2,1036
3	35	F	3456,,12,1211
3	35	F	456,3,12,816
3	35	F	1456,3,2,1225
3	35	F	1456,23,,1852
3	35	F	456,123,,1033
3	35	F	56,123,4,3269
3	35	F	56,123,4,1729
3	35	F	56,23,14,1097
3	35	F	156,23,4,4390
3	35	F	156,3,24,945
3	35	F	156,23,4,1982
3	35	F	56,23,14,3040
3	35	F	256,3,14,1087
3	35	F	1256,3,4,1239
3	35	F	1256,,34,920
3	35	F	256,,134,1015
3	35	F	56,2,134,1021
3	35	F	56,12,34,2718
3	35	F	56,12,34,1275
3	35	F	56,12,34,575
3	35	F	56,2,134,1073
3	35	F	256,,134,5695
3	35	F	256,1,34,780
3	35	F	56,1,234,1161
3	35	F	56,,1234,1073
3	35	F	6,5,1234,1060
3	35	F	6,15,234,323
3	35	F	16,5,234,625
3	35	F	16,25,34,2156
3	35	F	6,125,34,3025
3	35	F	36,125,4,1391
3	35	F	36,25,14,972
3	35	F	236,5,14,1850
3	35	F	1236,5,4,1636
3	35	F	236,15,4,2082
3	35	F	36,15,24,1212
3	35	F	36,15,24,8594
3	35	F	36,5,124,815
3	35	F	6,35,124,1032
3	35	F	6,35,124,870
3	35	F	6,135,24,816
3	35	F	26,135,4,691
3	35	F	26,135,4,127
3	35	F	126,35,4,3510
3	35	F	126,5,34,2313
3	35	F	26,15,34,1865
3	35	F	6,15,234,1624
3	35	F	16,5,234,8121
3	35	F	16,25,34,920
3	35	F	6,125,34,907
3	35	F	36,125,4,1137
3	35	F	136,25,4,919
3	35	F	36,25,14,1724
3	35	F	236,5,14,1150
3	35	F	236,15,4,2284
3	35	F	236,15,4,994
3	35	F	36,15,24,1367
3	35	F	136,5,24,858
3	35	F	136,25,4,436
3	35	F	136,25,4,703
3	35	F	36,25,14,1506
3	35	F	236,5,14,1201
3	35	F	236,5,14,3682
3	35	F	1236,5,4,575
3	35	F	1236,45,,984
3	35	F	236,45,1,1188
3	35	F	36,245,1,1366
3	35	F	36,1245,,1444
3	35	F	6,1245,3,1863
3	35	F	16,245,3,1198
3	35	F	6,245,13,2872
3	35	F	26,45,13,1085
3	35	F	126,45,3,1865
3	35	F	126,345,,935
3	35	F	26,345,1,1238
3	35	F	6,2345,1,1059
3	35	F	6,12345,,1083
3	35	F	,12345,6,1595
3	35	F	,12345,6,1033
3	35	F	1,2345,6,982
3	35	F	1,345,26,1213
3	35	F	,345,126,849
3	35	F	3,45,126,909
3	35	F	3,145,26,3038
3	35	F	3,145,26,5720
3	35	F	23,145,6,560
3	35	F	123,45,6,781
3	35	F	123,5,46,1329
3	35	F	23,5,146,5170
3	35	F	3,25,146,1187
3	35	F	3,125,46,1929
3	35	F	,125,346,1302
3	35	F	1,25,346,2145
3	35	F	1,5,2346,1250
3	35	F	1,25,346,1289
3	35	F	,125,346,793
3	35	F	3,125,46,1315
